2020-01-12 20:44:05 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 6980, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-12 20:44:05 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'
2020-01-12 20:44:05 *ERROR*      Failed to inject image using default injection, status: 0xC000010E

2020-01-12 21:17:46 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-12 21:17:48 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15960, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-12 21:17:48 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-13 17:55:31 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-13 17:55:32 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 14048, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-13 17:55:32 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-13 18:50:45 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-13 18:50:46 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 17232, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-13 18:50:46 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-13 19:01:51 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-13 19:01:52 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 17264, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-13 19:01:52 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-13 19:21:56 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-13 19:21:57 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 5044, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-13 19:21:57 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-16 15:42:52 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-16 15:53:38 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8760, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-16 15:53:38 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

2020-01-16 19:20:48 *NORMAL*     Started on Windows 10.0.0.18362 x64. Driver status: 0xC0000225
2020-01-16 19:20:50 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 8088, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2020-01-16 19:20:50 *CRITICAL*   Injecting image 'C:\Users\Bertil Parkrud\Desktop\Isabella Menu v1.0.3\IsabellaMenu.ass'

